restaurant_id,platform,restaurant_name,city,city_lat,city_lon,locality,restaurant_type,cuisines,primary_cuisine,avg_cost_per_person_inr,price_category,distance_from_city_center_km,amenities_count,has_own_website,has_own_app,food_license_verified,listing_date,days_listed,days_operational,rating,total_reviews,delivery_fee_inr,avg_delivery_time_minutes,platform_commission_pct,discount_frequency_pct,estimated_monthly_orders,estimated_monthly_revenue_inr,estimated_net_profit_inr,market_share_pct,profit_diff_swiggy_minus_zomato_inr,orders_diff_swiggy_minus_zomato,rating_diff_swiggy_minus_zomato,delivery_time_diff_swiggy_minus_zomato_min,profit_winner,combined_monthly_orders,combined_monthly_revenue_inr,combined_monthly_profit_inr
REST000001,Swiggy,Restaurant_1,Mumbai,19.076,72.8777,Mumbai_Locality_9,Cafe,Italian,Italian,1014,Premium,4.1,6,False,False,True,2023-03-04,1168,601,3.6,722,40,35,21,15,140,112148,109348,50,11240,16,0.3999999999999999,2,Swiggy,264,212736,207456
REST000002,Swiggy,Restaurant_2,Mumbai,19.076,72.8777,Mumbai_Locality_13,Casual Dining,Mughlai,Mughlai,925,Premium,1.9,3,False,True,True,2016-09-11,3533,3501,4.2,4402,30,32,22,16,279,201298,197113,49,31173,53,0.8000000000000003,2,Swiggy,505,370628,363053
REST000003,Swiggy,Restaurant_3,Mumbai,19.076,72.8777,Mumbai_Locality_12,Fine Dine,Mediterranean,Mediterranean,1450,Luxury,2.9,4,True,True,False,2017-04-05,3327,1485,3.8,594,34,34,14,15,137,170839,168510,42,25526,15,0.3999999999999999,-3,Swiggy,259,315897,311494
REST000004,Swiggy,Restaurant_4,Mumbai,19.076,72.8777,Mumbai_Locality_19,Cloud Kitchen,Desserts,Desserts,692,Mid-Range,13.2,5,True,True,True,2024-07-28,656,1318,3.3,3768,86,56,26,14,233,119314,109295,66,-42073,-85,-1.2000000000000002,-1,Zomato,551,284356,260663
REST000005,Swiggy,Restaurant_5,Mumbai,19.076,72.8777,Mumbai_Locality_13,Cafe,Mexican,Mexican,1249,Luxury,6.0,7,True,True,True,2022-02-04,1561,1947,4.8,104,50,37,19,5,218,220548,215098,52,38244,41,0.8999999999999999,9,Swiggy,395,401827,391952
REST000006,Swiggy,Restaurant_6,Mumbai,19.076,72.8777,Mumbai_Locality_11,Food Truck,Thai; Vietnamese,Thai; Vietnamese,325,Mid-Range,7.6,5,True,False,False,2021-10-24,1664,488,4.0,4657,58,39,20,25,102,26520,23562,65,-2563,-8,-0.2999999999999998,8,Zomato,212,55835,49687
REST000007,Swiggy,Restaurant_7,Mumbai,19.076,72.8777,Mumbai_Locality_8,Cloud Kitchen,Thai,Thai,288,Budget,3.8,8,True,True,False,2018-11-24,2729,1414,4.0,492,39,40,23,16,286,63423,57846,56,2471,0,0.0,13,Swiggy,572,124375,113221
REST000008,Swiggy,Restaurant_8,Mumbai,19.076,72.8777,Mumbai_Locality_2,QSR,Mexican,Mexican,542,Mid-Range,10.3,7,True,False,False,2020-11-03,2019,2676,3.7,905,71,47,19,6,227,99657,91599,53,-13907,-31,-0.5,-3,Zomato,485,214322,197105
REST000009,Swiggy,Restaurant_9,Mumbai,19.076,72.8777,Mumbai_Locality_13,Casual Dining,Mediterranean; Fast Food,Mediterranean; Fast Food,467,Mid-Range,0.5,3,True,True,True,2020-08-04,2110,1629,3.9,4562,30,27,21,10,214,78951,75741,41,-18529,-39,-0.6999999999999997,-2,Zomato,467,177016,170011
REST000010,Swiggy,Restaurant_10,Mumbai,19.076,72.8777,Mumbai_Locality_8,Casual Dining,Chinese,Chinese,1220,Luxury,6.4,8,True,False,False,2024-10-20,572,2363,3.7,4791,52,36,19,7,220,217404,211684,50,0,0,0.0,-5,Tie,440,434808,423368
REST000011,Swiggy,Restaurant_11,Mumbai,19.076,72.8777,Mumbai_Locality_6,Fine Dine,Cafe,Cafe,1285,Luxury,6.9,4,False,True,False,2018-07-31,2845,2255,3.1,4343,54,36,13,6,121,135271,132004,54,-4364,-4,-0.10000000000000009,-9,Zomato,246,275014,268372
REST000012,Swiggy,Restaurant_12,Mumbai,19.076,72.8777,Mumbai_Locality_2,Food Truck,Multi-Cuisine,Multi-Cuisine,1054,Premium,1.8,5,True,False,True,2022-03-14,1523,1764,4.7,2155,30,23,17,24,140,122474,120374,45,24327,21,0.7000000000000002,-3,Swiggy,259,220306,216421
REST000013,Swiggy,Restaurant_13,Mumbai,19.076,72.8777,Mumbai_Locality_4,QSR,Bakery; Biryani,Bakery; Biryani,994,Premium,5.6,4,True,False,True,2023-10-17,941,2323,4.3,1341,48,44,23,17,255,195171,189051,52,15497,24,0.3999999999999999,7,Swiggy,486,374269,362605
REST000014,Swiggy,Restaurant_14,Mumbai,19.076,72.8777,Mumbai_Locality_8,Cloud Kitchen,Pan-Asian,Pan-Asian,1463,Luxury,3.7,7,False,True,True,2021-12-20,1607,2733,3.6,2296,38,24,24,9,296,329116,323492,72,-110776,-91,-1.1,-7,Zomato,683,770737,757760
REST000015,Swiggy,Restaurant_15,Mumbai,19.076,72.8777,Mumbai_Locality_17,QSR,South Indian; North Indian,South Indian; North Indian,405,Mid-Range,13.9,4,True,False,True,2021-09-25,1693,2235,3.9,2714,89,52,19,9,229,75123,64932,51,-3120,-11,-0.19999999999999973,4,Zomato,469,153855,132984
REST000016,Swiggy,Restaurant_16,Mumbai,19.076,72.8777,Mumbai_Locality_19,QSR,Seafood,Seafood,1499,Luxury,9.3,4,True,True,True,2020-12-16,1976,1349,3.7,3886,66,48,19,8,197,239195,232694,58,-15001,-21,-0.39999999999999947,2,Zomato,415,494084,480389
REST000017,Swiggy,Restaurant_17,Mumbai,19.076,72.8777,Mumbai_Locality_7,Cloud Kitchen,Mexican; Korean,Mexican; Korean,1020,Premium,10.9,4,False,False,False,2019-06-02,2539,1602,4.0,55,74,48,25,6,292,223380,212576,69,-32032,-44,-0.5999999999999996,-7,Zomato,628,480420,457184
REST000018,Swiggy,Restaurant_18,Mumbai,19.076,72.8777,Mumbai_Locality_15,Food Truck,Street Food; Multi-Cuisine,Street Food; Multi-Cuisine,1050,Premium,4.3,4,True,True,False,2021-08-20,1729,1042,4.0,1969,41,37,19,14,109,92704,90470,50,12618,14,0.5,2,Swiggy,204,172504,168322
REST000019,Swiggy,Restaurant_19,Mumbai,19.076,72.8777,Mumbai_Locality_2,QSR,Japanese,Japanese,162,Budget,3.5,4,False,False,False,2018-10-15,2769,1750,4.4,3126,37,35,22,17,245,30958,26425,53,5393,50,0.9000000000000004,5,Swiggy,440,55598,47457
REST000020,Swiggy,Restaurant_20,Mumbai,19.076,72.8777,Mumbai_Locality_20,Cafe,Fast Food; Continental,Fast Food; Continental,252,Budget,8.2,5,True,False,True,2023-10-10,948,1643,4.4,3792,60,41,19,18,194,39599,33779,54,2966,9,0.20000000000000018,-4,Swiggy,379,75962,64592
REST000021,Swiggy,Restaurant_21,Mumbai,19.076,72.8777,Mumbai_Locality_7,Cafe,South Indian; Cafe,South Indian; Cafe,1102,Premium,12.7,5,False,False,True,2018-04-09,2958,2574,4.4,4630,83,47,21,13,214,186304,177423,48,0,0,0.0,5,Tie,428,372608,354846
REST000022,Swiggy,Restaurant_22,Mumbai,19.076,72.8777,Mumbai_Locality_8,Fine Dine,Korean; Lebanese,Korean; Lebanese,1241,Luxury,2.0,6,True,False,False,2019-05-20,2552,3194,4.1,346,30,24,14,25,176,187837,185197,48,32943,26,0.5999999999999996,-7,Swiggy,326,342341,337451
REST000023,Swiggy,Restaurant_23,Mumbai,19.076,72.8777,Mumbai_Locality_9,Cloud Kitchen,Mexican; Korean,Mexican; Korean,1399,Luxury,5.2,5,True,True,True,2025-04-30,380,1035,4.2,3816,46,33,24,21,287,305149,298548,65,31723,27,0.40000000000000036,2,Swiggy,547,577954,565373
REST000024,Swiggy,Restaurant_24,Mumbai,19.076,72.8777,Mumbai_Locality_8,Cafe,Mexican,Mexican,978,Premium,10.5,5,True,True,True,2018-03-14,2984,2675,3.9,2420,72,44,20,11,191,149438,142562,57,-3732,-5,-0.10000000000000009,2,Zomato,387,302788,288856
REST000025,Swiggy,Restaurant_25,Mumbai,19.076,72.8777,Mumbai_Locality_7,QSR,Italian; Fast Food,Italian; Fast Food,889,Premium,3.6,8,False,False,True,2022-06-20,1425,2013,4.8,2436,38,32,19,37,275,198024,192799,56,44386,52,0.8999999999999999,0,Swiggy,498,350674,341212
REST000026,Swiggy,Restaurant_26,Mumbai,19.076,72.8777,Mumbai_Locality_4,Fine Dine,Desserts; Multi-Cuisine,Desserts; Multi-Cuisine,1302,Luxury,12.4,4,False,False,False,2016-08-22,3553,1671,3.5,1252,82,51,15,14,129,142764,137475,44,-9230,-7,-0.20000000000000018,2,Zomato,265,295045,284180
REST000027,Swiggy,Restaurant_27,Mumbai,19.076,72.8777,Mumbai_Locality_4,QSR,Korean; Vietnamese,Korean; Vietnamese,1280,Luxury,14.2,8,False,True,True,2020-03-07,2260,881,4.0,1974,91,53,21,17,201,203251,194105,54,-15059,-10,-0.20000000000000018,0,Zomato,412,422015,403269
REST000028,Swiggy,Restaurant_28,Mumbai,19.076,72.8777,Mumbai_Locality_3,Cafe,Continental; Continental,Continental; Continental,707,Premium,1.4,3,True,False,True,2019-10-29,2390,3276,3.6,2501,30,21,17,10,187,109733,106928,47,-13653,-32,-0.6000000000000001,-6,Zomato,406,233599,227509
REST000029,Swiggy,Restaurant_29,Mumbai,19.076,72.8777,Mumbai_Locality_15,Casual Dining,Multi-Cuisine,Multi-Cuisine,862,Premium,13.8,8,False,False,False,2024-12-27,504,773,3.7,757,89,48,18,12,184,130058,121870,42,1586,0,0.0,-6,Swiggy,368,258530,242154
REST000030,Swiggy,Restaurant_30,Mumbai,19.076,72.8777,Mumbai_Locality_15,Food Truck,North Indian; Japanese,North Indian; Japanese,566,Mid-Range,6.5,7,False,True,True,2023-10-08,950,798,3.7,3631,52,37,22,5,98,43265,40717,51,-1109,0,0.0,-3,Zomato,196,87639,82543
REST000031,Swiggy,Restaurant_31,Mumbai,19.076,72.8777,Mumbai_Locality_16,Cloud Kitchen,Italian; Continental,Italian; Continental,1085,Premium,14.0,6,False,False,True,2016-08-01,3574,1225,3.6,3878,90,48,25,6,252,205065,193725,73,-25907,-42,-0.6000000000000001,-3,Zomato,546,437927,413357
REST000032,Swiggy,Restaurant_32,Mumbai,19.076,72.8777,Mumbai_Locality_11,Cloud Kitchen,Japanese,Japanese,934,Premium,8.5,8,True,False,False,2025-03-03,438,2255,4.7,1966,62,42,26,32,369,255038,243599,56,52153,79,1.0,-8,Swiggy,659,455474,435045
REST000033,Swiggy,Restaurant_33,Mumbai,19.076,72.8777,Mumbai_Locality_5,Fine Dine,Continental,Continental,1242,Luxury,1.6,3,False,True,True,2017-11-30,3088,3231,3.7,667,30,25,17,5,160,164937,162537,51,0,0,0.0,-6,Tie,320,329874,325074
REST000034,Swiggy,Restaurant_34,Mumbai,19.076,72.8777,Mumbai_Locality_15,Cloud Kitchen,Italian; Italian,Italian; Italian,1032,Premium,2.9,7,False,False,True,2023-06-05,1075,1256,3.9,2946,34,34,27,6,274,206420,201762,66,-22198,-14,-0.19999999999999973,-1,Zomato,562,435276,425722
REST000035,Swiggy,Restaurant_35,Mumbai,19.076,72.8777,Mumbai_Locality_3,Cloud Kitchen,Seafood; Fast Food,Seafood; Fast Food,768,Premium,6.9,8,False,True,False,2019-06-25,2516,1445,3.7,2058,54,40,23,14,265,156710,149555,65,4070,0,0.0,-3,Swiggy,530,309350,295040
REST000036,Swiggy,Restaurant_36,Mumbai,19.076,72.8777,Mumbai_Locality_9,Casual Dining,Lebanese,Lebanese,1052,Premium,10.3,4,False,True,False,2023-05-29,1082,2982,3.4,332,71,50,22,11,215,176420,168787,42,-6786,0,0.0,4,Zomato,430,359625,344360
REST000037,Swiggy,Restaurant_37,Mumbai,19.076,72.8777,Mumbai_Locality_3,QSR,Mughlai; Street Food,Mughlai; Street Food,958,Premium,2.5,8,True,True,False,2019-03-01,2632,954,4.7,3006,32,36,21,38,239,180879,177055,54,30373,41,0.8000000000000003,6,Swiggy,437,330729,323737
REST000038,Swiggy,Restaurant_38,Mumbai,19.076,72.8777,Mumbai_Locality_5,Cafe,Seafood; Italian,Seafood; Italian,945,Premium,1.2,8,True,False,True,2021-04-20,1851,182,4.2,4413,30,20,23,14,154,112058,109748,60,-4366,0,0.0,-9,Zomato,308,228482,223862
REST000039,Swiggy,Restaurant_39,Mumbai,19.076,72.8777,Mumbai_Locality_18,QSR,Italian; Pan-Asian,Italian; Pan-Asian,337,Mid-Range,13.6,7,True,False,True,2017-08-09,3201,2671,3.8,1010,88,48,17,8,233,65172,54920,57,-1545,-25,-0.40000000000000036,2,Zomato,491,132989,111385
REST000040,Swiggy,Restaurant_40,Mumbai,19.076,72.8777,Mumbai_Locality_5,Food Truck,North Indian,North Indian,883,Premium,14.8,3,False,False,True,2020-07-13,2132,2242,4.6,1089,94,55,18,33,144,104264,97496,51,786,3,0.09999999999999964,4,Swiggy,285,207601,194206
